tourist_id,n_visits,n_unique_clusters,n_restricted_visits,restricted_ratio,avg_dwell_minutes,total_distance_km,avg_distance_per_hop_km,revisit_ratio,is_suspicious_ground_truth,is_flagged_suspicious,anomaly_score
T00056,16,4,0,0.0,58.8,215.02,13.44,0.125,False,False,0.071
T00057,12,3,0,0.0,54.0,113.74,9.48,0.0,False,False,0.0868
T00058,11,4,0,0.0,49.3,128.33,11.67,0.091,False,False,0.0912
T00059,13,3,0,0.0,52.3,114.59,8.81,0.308,False,False,0.0934
T00060,14,4,0,0.0,61.9,158.33,11.31,0.286,False,False,0.0922
T00061,13,3,0,0.0,61.5,112.96,8.69,0.308,False,False,0.0874
T00062,13,2,0,0.0,55.8,107.24,8.25,0.0,False,False,0.0317
T00063,11,4,0,0.0,48.4,143.62,13.06,0.091,False,False,0.0788
T00064,14,4,0,0.0,57.9,143.65,10.26,0.143,False,False,0.1371
T00065,12,4,0,0.0,49.1,151.33,12.61,0.083,False,False,0.0988
T00066,14,4,0,0.0,57.8,141.51,10.11,0.0,False,False,0.1061
T00067,13,3,0,0.0,59.6,92.34,7.1,0.308,False,False,0.0616
T00068,15,2,0,0.0,52.3,83.02,5.53,0.2,False,True,-0.0124
T00069,11,4,0,0.0,50.1,123.3,11.21,0.091,False,False,0.0977
T00070,12,4,0,0.0,56.7,166.66,13.89,0.0,False,False,0.0717
T00071,12,3,0,0.0,53.9,77.57,6.46,0.25,False,False,0.0484
T00072,13,3,0,0.0,49.9,130.03,10.0,0.231,False,False,0.1218
T00073,15,3,0,0.0,61.8,111.65,7.44,0.333,False,False,0.0436
T00074,14,4,0,0.0,56.6,158.2,11.3,0.071,False,False,0.123
T00075,18,4,0,0.0,59.2,196.01,10.89,0.167,False,False,0.049
T00076,13,3,0,0.0,58.4,169.76,13.06,0.231,False,False,0.1017
T00077,13,3,0,0.0,60.8,140.86,10.84,0.231,False,False,0.1233
T00078,15,3,0,0.0,62.7,189.95,12.66,0.133,False,False,0.0787
T00079,13,3,0,0.0,51.3,135.63,10.43,0.0,False,False,0.0982
T00080,13,4,0,0.0,54.0,121.25,9.33,0.154,False,False,0.127
T00081,16,4,0,0.0,56.2,165.57,10.35,0.062,False,False,0.1018
T00082,16,4,0,0.0,48.9,151.17,9.45,0.188,False,False,0.0971
T00083,14,3,0,0.0,47.9,166.61,11.9,0.286,False,False,0.0686
T00084,14,4,0,0.0,52.1,114.91,8.21,0.143,False,False,0.1123
T00085,13,2,0,0.0,46.5,133.79,10.29,0.154,False,False,0.055
T00086,13,3,0,0.0,54.5,109.46,8.42,0.154,False,False,0.125
T00087,14,4,0,0.0,66.9,174.53,12.47,0.143,False,False,0.0711
T00088,11,3,0,0.0,52.5,153.57,13.96,0.273,False,False,0.0439
T00089,12,4,0,0.0,53.2,133.69,11.14,0.333,False,False,0.0725
T00090,10,3,0,0.0,61.1,99.11,9.91,0.1,False,False,0.0721
T00091,11,3,0,0.0,54.5,145.51,13.23,0.091,False,False,0.087
T00092,18,3,0,0.0,64.4,173.75,9.65,0.222,False,False,0.0093
T00093,15,4,2,0.133,46.9,147.3,9.82,0.2,True,True,-0.1123
T00094,11,5,1,0.091,56.7,134.34,12.21,0.0,True,True,-0.0956
T00095,14,3,0,0.0,47.0,77.22,5.52,0.286,False,True,-0.0118
T00096,14,4,0,0.0,53.4,151.2,10.8,0.143,False,False,0.1336
T00097,15,3,0,0.0,56.9,166.61,11.11,0.133,False,False,0.1174
T00098,9,3,0,0.0,63.4,102.13,11.35,0.0,False,True,-0.0003
T00099,13,4,0,0.0,51.2,159.89,12.3,0.154,False,False,0.1249
T00100,15,4,0,0.0,52.1,121.33,8.09,0.067,False,False,0.0961
T00101,14,4,0,0.0,57.3,184.88,13.21,0.071,False,False,0.1056
T00102,15,4,0,0.0,56.7,148.57,9.9,0.133,False,False,0.1283
T00103,11,5,4,0.364,59.4,191.56,17.41,0.273,True,True,-0.2396
T00104,15,4,0,0.0,53.0,184.25,12.28,0.133,False,False,0.1163
T00105,15,3,0,0.0,52.9,102.68,6.85,0.2,False,False,0.0804
T00106,12,4,0,0.0,48.5,108.83,9.07,0.167,False,False,0.098
T00107,14,2,0,0.0,51.2,116.54,8.32,0.214,False,False,0.0672
T00108,11,3,0,0.0,42.0,120.04,10.91,0.273,False,False,0.0287
T00109,17,4,0,0.0,51.5,213.93,12.58,0.294,False,False,0.0295
T00110,14,5,0,0.0,53.4,154.78,11.06,0.071,False,False,0.0861
T00111,16,4,0,0.0,54.1,184.1,11.51,0.312,False,False,0.0676
T00112,13,4,0,0.0,56.5,82.2,6.32,0.0,False,False,0.0136
T00113,13,4,0,0.0,57.6,145.27,11.17,0.0,False,False,0.1047
T00114,14,5,0,0.0,55.6,165.91,11.85,0.071,False,False,0.0815
T00115,12,3,0,0.0,65.4,116.77,9.73,0.083,False,False,0.0787
T00116,11,3,0,0.0,50.3,152.86,13.9,0.0,False,False,0.0324
T00117,13,4,0,0.0,50.6,188.31,14.49,0.077,False,False,0.0691
T00118,16,3,0,0.0,59.4,134.24,8.39,0.0,False,False,0.0599
T00119,14,3,0,0.0,57.9,181.05,12.93,0.143,False,False,0.1041
T00120,14,3,0,0.0,54.9,128.17,9.15,0.071,False,False,0.1259
T00121,12,3,0,0.0,57.9,94.68,7.89,0.167,False,False,0.109
T00122,15,5,0,0.0,57.7,155.11,10.34,0.067,False,False,0.0758
T00123,12,5,0,0.0,51.1,172.72,14.39,0.083,False,False,0.0331
T00124,16,4,0,0.0,50.9,181.02,11.31,0.312,False,False,0.0646
T00125,14,4,0,0.0,54.5,90.41,6.46,0.143,False,False,0.0605
T00126,17,4,0,0.0,53.4,182.41,10.73,0.118,False,False,0.0883
T00127,14,3,0,0.0,57.3,172.12,12.29,0.286,False,False,0.0851
T00128,14,4,0,0.0,50.8,122.34,8.74,0.0,False,False,0.0879
T00129,13,3,0,0.0,64.3,135.92,10.46,0.308,False,False,0.0723
T00130,11,3,0,0.0,58.6,65.41,5.95,0.091,False,False,0.013
T00131,14,3,0,0.0,59.6,139.64,9.97,0.214,False,False,0.1294
T00132,15,3,0,0.0,49.4,168.03,11.2,0.2,False,False,0.1017
T00133,16,4,0,0.0,55.2,115.87,7.24,0.312,False,False,0.0365
T00134,13,3,0,0.0,60.0,115.71,8.9,0.077,False,False,0.1178
T00135,18,4,0,0.0,51.0,180.27,10.02,0.167,False,False,0.0436
T00136,14,4,0,0.0,61.1,165.41,11.81,0.071,False,False,0.1168
T00137,12,2,0,0.0,53.5,116.61,9.72,0.083,False,False,0.069
T00138,14,3,0,0.0,60.7,133.15,9.51,0.143,False,False,0.1258
T00139,15,3,0,0.0,59.2,155.7,10.38,0.067,False,False,0.1122
T00140,17,3,0,0.0,52.6,146.5,8.62,0.118,False,False,0.0781
T00141,14,3,0,0.0,49.0,149.2,10.66,0.143,False,False,0.1173
T00142,10,3,0,0.0,48.1,128.79,12.88,0.1,True,False,0.0535
T00143,15,3,0,0.0,68.9,147.97,9.86,0.067,False,False,0.0488
T00144,13,4,0,0.0,55.8,146.52,11.27,0.231,False,False,0.126
T00145,14,4,0,0.0,40.6,153.71,10.98,0.143,False,False,0.0598
T00146,16,5,0,0.0,70.5,199.41,12.46,0.375,False,True,-0.0826
T00147,12,4,3,0.25,56.8,125.07,10.42,0.167,True,True,-0.1661
T00148,11,2,0,0.0,46.6,143.47,13.04,0.273,False,True,-0.0131
T00149,13,3,0,0.0,61.5,166.18,12.78,0.231,False,False,0.0999
T00150,9,3,0,0.0,59.9,62.89,6.99,0.111,False,True,-0.0235
T00151,14,3,0,0.0,53.9,126.14,9.01,0.286,False,False,0.1074
T00152,13,4,0,0.0,58.8,117.54,9.04,0.154,False,False,0.1279
T00153,13,3,0,0.0,55.5,142.23,10.94,0.154,False,False,0.1353
T00154,11,3,0,0.0,49.5,140.39,12.76,0.091,False,False,0.0808
T00155,12,2,0,0.0,56.2,115.38,9.62,0.167,False,False,0.082
T00156,13,4,0,0.0,56.2,169.53,13.04,0.154,False,False,0.1225
T00157,10,3,0,0.0,53.4,89.72,8.97,0.1,False,False,0.0719
T00158,15,3,0,0.0,56.4,119.91,7.99,0.133,False,False,0.1106
T00159,14,5,0,0.0,49.1,150.73,10.77,0.286,False,False,0.0439
T00160,15,4,0,0.0,62.0,182.47,12.16,0.267,False,False,0.0872
T00161,16,4,0,0.0,52.3,178.64,11.17,0.188,False,False,0.1104
T00162,16,4,0,0.0,58.9,188.87,11.8,0.125,False,False,0.1042
T00163,13,3,0,0.0,49.6,125.31,9.64,0.077,False,False,0.1121
T00164,13,3,0,0.0,50.0,158.22,12.17,0.077,False,False,0.1014
T00165,13,3,0,0.0,58.5,95.45,7.34,0.077,False,False,0.0922
T00166,13,3,0,0.0,54.4,159.96,12.3,0.231,False,False,0.1159
T00167,16,4,0,0.0,56.2,110.22,6.89,0.25,False,False,0.0504
T00168,14,4,0,0.0,58.4,168.24,12.02,0.214,False,False,0.1208
T00169,16,4,0,0.0,56.5,171.52,10.72,0.312,False,False,0.0712
T00170,12,4,0,0.0,59.0,143.59,11.97,0.083,False,False,0.1133
T00171,11,4,0,0.0,53.8,113.6,10.33,0.091,False,False,0.1071
T00172,15,6,0,0.0,50.9,209.4,13.96,0.067,False,True,-0.0215
T00173,14,4,0,0.0,61.6,116.69,8.33,0.286,True,False,0.0868
T00174,11,3,0,0.0,45.5,106.13,9.65,0.273,False,False,0.052
T00175,14,4,0,0.0,49.9,135.63,9.69,0.214,False,False,0.1187
T00176,18,3,0,0.0,56.4,152.88,8.49,0.111,False,False,0.0325
T00177,17,4,0,0.0,48.5,179.14,10.54,0.176,False,False,0.0762
T00178,12,3,0,0.0,48.5,129.05,10.75,0.167,False,False,0.11
T00179,11,4,0,0.0,45.8,104.32,9.48,0.091,False,False,0.0641
T00180,10,4,0,0.0,52.5,106.84,10.68,0.1,False,False,0.0747
T00181,15,2,0,0.0,52.5,117.28,7.82,0.333,False,False,0.0103
T00182,18,4,0,0.0,53.4,208.86,11.6,0.278,False,False,0.0183
T00183,10,5,0,0.0,49.0,129.23,12.92,0.0,False,True,-0.0078
T00184,12,2,0,0.0,52.9,140.19,11.68,0.333,False,False,0.0206
T00185,14,2,0,0.0,51.5,119.58,8.54,0.143,False,False,0.0739
T00186,11,4,0,0.0,61.5,93.24,8.48,0.091,False,False,0.077
T00187,13,5,0,0.0,63.2,194.22,14.94,0.077,False,True,-0.0019
T00188,15,4,0,0.0,49.0,136.99,9.13,0.267,False,False,0.0945
T00189,12,4,0,0.0,57.8,157.64,13.14,0.0,False,False,0.0838
T00190,12,3,0,0.0,61.4,112.49,9.37,0.167,False,False,0.1096
T00191,16,4,1,0.062,61.1,148.26,9.27,0.062,True,True,-0.0544
T00192,15,4,0,0.0,50.9,142.4,9.49,0.2,False,False,0.1174
T00193,12,4,0,0.0,54.6,196.77,16.4,0.167,False,False,0.0081
T00194,12,3,0,0.0,62.9,109.82,9.15,0.25,False,False,0.0925
T00195,10,3,1,0.1,47.9,142.99,14.3,0.1,True,True,-0.1186
T00196,14,3,0,0.0,54.0,101.2,7.23,0.143,False,False,0.1027
T00197,10,4,0,0.0,59.5,90.34,9.03,0.1,False,False,0.0584
T00198,13,5,0,0.0,59.2,164.56,12.66,0.154,False,False,0.0786
T00199,14,3,0,0.0,63.3,149.25,10.66,0.143,False,False,0.116
T00200,17,3,0,0.0,57.5,136.86,8.05,0.176,False,False,0.0845
T00201,11,2,0,0.0,43.1,102.91,9.36,0.091,False,False,0.0035
T00202,14,4,0,0.0,61.9,183.03,13.07,0.214,False,False,0.1006
T00203,15,4,0,0.0,69.9,168.82,11.25,0.4,False,True,-0.0325
T00204,14,3,0,0.0,49.1,186.48,13.32,0.214,False,False,0.0786
T00205,13,4,0,0.0,51.2,173.38,13.34,0.231,False,False,0.1043
T00206,16,4,0,0.0,46.4,202.03,12.63,0.125,False,False,0.0518
T00207,13,4,0,0.0,59.2,120.9,9.3,0.231,False,False,0.1176
T00208,11,4,0,0.0,52.3,128.6,11.69,0.0,False,False,0.0782
T00209,12,4,0,0.0,56.2,93.5,7.79,0.167,False,False,0.0932
T00210,12,4,0,0.0,59.4,123.12,10.26,0.083,False,False,0.1152
T00211,14,4,0,0.0,57.4,109.72,7.84,0.071,False,False,0.1055
T00212,16,4,0,0.0,58.1,151.17,9.45,0.25,False,False,0.0998
T00213,16,4,0,0.0,44.6,191.58,11.97,0.188,False,False,0.056
T00214,14,3,0,0.0,50.1,106.82,7.63,0.214,True,False,0.0975
T00215,16,5,0,0.0,66.2,182.98,11.44,0.188,False,False,0.0228
T00216,18,3,0,0.0,55.7,160.41,8.91,0.167,False,False,0.0415
T00217,14,2,0,0.0,49.7,114.68,8.19,0.214,False,False,0.0577
T00218,16,3,0,0.0,67.2,147.25,9.2,0.25,False,False,0.0383
T00219,16,4,0,0.0,55.9,158.68,9.92,0.188,False,False,0.1134
T00220,15,4,0,0.0,54.9,142.23,9.48,0.133,False,False,0.1281
T00221,12,3,0,0.0,48.2,123.77,10.31,0.167,False,False,0.1102
T00222,15,3,0,0.0,64.1,209.24,13.95,0.133,False,False,0.0252
T00223,14,5,0,0.0,58.8,181.29,12.95,0.214,False,False,0.0692
T00224,12,4,0,0.0,56.2,89.35,7.45,0.083,False,False,0.0749
T00225,15,5,0,0.0,57.9,183.68,12.25,0.133,False,False,0.0753
T00226,13,4,0,0.0,54.0,142.02,10.92,0.231,False,False,0.1284
T00227,15,3,0,0.0,62.7,126.11,8.41,0.2,False,False,0.108
T00228,12,3,0,0.0,54.5,124.74,10.4,0.333,False,False,0.0835
T00229,16,4,0,0.0,52.2,130.81,8.18,0.25,False,False,0.0926
T00230,13,4,0,0.0,53.9,112.08,8.62,0.154,False,False,0.1168
T00231,13,4,0,0.0,62.8,141.28,10.87,0.077,False,False,0.1211
T00232,11,4,0,0.0,60.0,110.08,10.01,0.091,False,False,0.0956
T00233,12,5,0,0.0,56.1,152.81,12.73,0.083,False,False,0.0675
T00234,12,5,0,0.0,57.5,125.9,10.49,0.167,False,False,0.0654
T00235,13,3,0,0.0,59.4,119.13,9.16,0.077,False,False,0.1213
T00236,11,5,1,0.091,52.8,132.16,12.01,0.091,True,True,-0.0875
T00237,15,4,0,0.0,45.5,175.74,11.72,0.0,False,False,0.0427
T00238,16,3,0,0.0,54.7,168.09,10.51,0.125,False,False,0.1055
T00239,16,3,0,0.0,45.4,126.22,7.89,0.188,False,False,0.0559
T00240,12,4,0,0.0,49.2,160.93,13.41,0.083,False,False,0.0916
T00241,14,4,0,0.0,61.3,211.36,15.1,0.214,False,False,0.0263
T00242,15,3,0,0.0,51.5,157.64,10.51,0.133,False,False,0.1198
T00243,11,2,0,0.0,54.0,121.31,11.03,0.182,False,False,0.0654
T00244,17,3,0,0.0,54.0,157.0,9.24,0.294,False,False,0.0652
T00245,15,3,0,0.0,53.5,129.32,8.62,0.533,False,False,0.0231
T00246,17,4,0,0.0,59.6,126.55,7.44,0.059,False,False,0.039
T00247,15,4,0,0.0,51.1,183.04,12.2,0.2,False,False,0.1122
T00248,13,3,0,0.0,56.5,165.07,12.7,0.077,False,False,0.1122
T00249,13,3,0,0.0,45.6,90.67,6.97,0.154,False,False,0.0497
T00250,13,4,0,0.0,51.1,119.49,9.19,0.154,False,False,0.1203
T00251,13,3,0,0.0,51.1,122.43,9.42,0.231,False,False,0.1154
T00252,13,5,0,0.0,52.4,161.01,12.39,0.154,False,False,0.0837
T00253,14,4,0,0.0,50.9,141.42,10.1,0.214,False,False,0.1269
T00254,14,4,0,0.0,56.4,178.05,12.72,0.214,False,False,0.1182
T00255,15,4,0,0.0,51.6,190.52,12.7,0.067,False,False,0.0987
T00256,14,4,0,0.0,49.4,196.83,14.06,0.071,False,False,0.0702
T00257,11,3,0,0.0,47.5,112.08,10.19,0.091,False,False,0.09
T00258,13,3,0,0.0,57.8,145.9,11.22,0.077,False,False,0.1237
T00259,12,2,0,0.0,55.2,102.32,8.53,0.167,False,False,0.0775
T00260,12,3,0,0.0,57.7,146.75,12.23,0.083,False,False,0.1143
T00261,15,4,0,0.0,54.7,157.82,10.52,0.067,False,False,0.1186
T00262,15,3,0,0.0,54.3,180.45,12.03,0.267,False,False,0.0917
T00263,14,3,0,0.0,58.7,160.38,11.46,0.0,False,False,0.0897
T00264,13,4,0,0.0,49.7,93.83,7.22,0.077,False,False,0.0614
T00265,14,3,0,0.0,56.5,131.69,9.41,0.071,False,False,0.1261
T00266,11,4,0,0.0,57.4,104.91,9.54,0.091,False,False,0.0991
T00267,14,4,0,0.0,52.8,128.45,9.17,0.071,False,False,0.1233
T00268,14,4,0,0.0,59.2,156.09,11.15,0.0,False,False,0.099
T00269,12,3,0,0.0,54.8,80.88,6.74,0.083,False,False,0.0616
T00270,16,4,0,0.0,58.1,147.77,9.24,0.125,False,False,0.111
T00271,14,3,0,0.0,55.4,170.85,12.2,0.143,False,False,0.1128
T00272,10,4,0,0.0,50.2,111.24,11.12,0.2,False,False,0.0637
T00273,15,3,0,0.0,57.0,122.25,8.15,0.267,False,False,0.1012
T00274,12,3,0,0.0,54.8,153.15,12.76,0.083,False,False,0.1065
T00275,15,3,0,0.0,52.8,145.6,9.71,0.067,False,False,0.1122
T00276,16,3,0,0.0,51.2,123.51,7.72,0.25,False,False,0.0768
T00277,14,4,0,0.0,53.7,160.2,11.44,0.143,True,False,0.1275
T00278,10,3,0,0.0,62.8,99.63,9.96,0.2,False,False,0.0682
T00279,12,3,0,0.0,58.8,116.51,9.71,0.167,False,False,0.1217
T00280,14,3,0,0.0,50.1,157.53,11.25,0.143,False,False,0.1144
T00281,15,4,0,0.0,50.4,116.68,7.78,0.133,False,False,0.0947
T00282,13,4,0,0.0,38.7,140.83,10.83,0.077,False,False,0.0503
T00283,11,4,0,0.0,57.5,119.35,10.85,0.091,False,False,0.11
T00284,13,3,0,0.0,55.0,113.99,8.77,0.154,False,False,0.1275
T00285,14,3,0,0.0,60.1,175.31,12.52,0.143,False,False,0.1066
T00286,12,4,0,0.0,56.8,130.12,10.84,0.083,False,False,0.1247
T00287,15,4,1,0.067,43.9,107.69,7.18,0.133,True,True,-0.0819
T00288,18,4,0,0.0,53.6,170.04,9.45,0.111,False,False,0.0415
T00289,14,4,0,0.0,47.2,195.53,13.97,0.214,False,False,0.0665
T00290,12,4,0,0.0,51.9,150.74,12.56,0.0,False,False,0.0855
T00291,14,2,0,0.0,55.4,102.73,7.34,0.0,False,False,0.0073
T00292,12,3,0,0.0,53.3,112.49,9.37,0.167,False,False,0.1223
T00293,12,3,0,0.0,58.2,129.02,10.75,0.083,False,False,0.1223
T00294,11,2,0,0.0,58.3,81.07,7.37,0.182,False,False,0.0333
T00295,14,4,0,0.0,55.4,154.78,11.06,0.143,False,False,0.1304
T00296,13,3,0,0.0,59.7,163.94,12.61,0.154,False,False,0.1176
T00297,11,2,0,0.0,56.3,96.24,8.75,0.0,False,False,0.019
T00298,16,4,0,0.0,62.7,159.77,9.99,0.0,False,False,0.0627
T00299,11,3,0,0.0,46.5,128.7,11.7,0.091,False,False,0.078
T00300,12,3,0,0.0,53.4,141.53,11.79,0.25,False,False,0.1093
T00301,10,3,0,0.0,58.3,67.3,6.73,0.3,False,True,-0.0095
T00302,13,4,0,0.0,53.7,99.77,7.67,0.154,True,False,0.0977
T00303,18,3,0,0.0,55.3,192.48,10.69,0.222,False,False,0.0324
T00304,17,3,0,0.0,47.8,106.27,6.25,0.176,False,False,0.0164
T00305,16,3,0,0.0,53.0,202.75,12.67,0.25,False,False,0.0532
T00306,12,4,0,0.0,56.8,157.11,13.09,0.083,False,False,0.1131
T00307,14,4,0,0.0,53.9,153.31,10.95,0.357,False,False,0.0646
T00308,12,3,0,0.0,50.6,89.48,7.46,0.083,False,False,0.0748
T00309,12,3,0,0.0,55.4,77.01,6.42,0.25,False,False,0.0477
T00310,15,5,0,0.0,54.5,163.7,10.91,0.133,False,False,0.0821
T00311,13,4,0,0.0,58.5,184.69,14.21,0.231,False,False,0.0824
T00312,11,3,0,0.0,60.4,135.75,12.34,0.273,False,False,0.0726
T00313,12,3,0,0.0,49.2,100.19,8.35,0.167,False,False,0.096
T00314,13,4,2,0.154,49.5,191.13,14.7,0.154,True,True,-0.124
T00315,14,3,0,0.0,64.1,114.24,8.16,0.214,False,False,0.0895
T00316,14,3,0,0.0,58.4,98.28,7.02,0.286,False,False,0.0736
T00317,9,2,0,0.0,51.6,79.24,8.8,0.111,False,True,-0.0215
T00318,15,3,0,0.0,58.3,137.68,9.18,0.333,False,False,0.08
T00319,15,4,0,0.0,63.2,147.07,9.8,0.2,False,False,0.1106
T00320,13,4,0,0.0,51.6,144.27,11.1,0.231,False,False,0.1225
T00321,14,2,0,0.0,54.8,86.25,6.16,0.214,False,False,0.0212
T00322,16,4,0,0.0,47.2,143.94,9.0,0.125,False,False,0.0891
T00323,11,4,0,0.0,52.1,138.87,12.62,0.091,False,False,0.0966
T00324,16,5,0,0.0,53.8,166.16,10.38,0.25,False,False,0.0613
T00325,14,5,1,0.071,57.6,169.94,12.14,0.071,True,True,-0.059
T00326,18,3,0,0.0,57.1,149.59,8.31,0.278,False,False,0.0336
T00327,13,4,0,0.0,56.9,130.59,10.05,0.077,False,False,0.1325
T00328,18,3,0,0.0,48.2,164.08,9.12,0.111,False,False,0.0097
T00329,13,4,0,0.0,57.8,108.66,8.36,0.385,False,False,0.0403
T00330,16,4,0,0.0,53.8,180.4,11.28,0.062,False,False,0.0929
T00331,12,4,0,0.0,60.8,138.88,11.57,0.167,False,False,0.1142
T00332,13,4,0,0.0,55.7,151.8,11.68,0.077,False,False,0.1224
T00333,16,3,0,0.0,58.8,175.47,10.97,0.062,False,False,0.0846
T00334,12,3,0,0.0,46.6,109.72,9.14,0.25,False,False,0.0827
T00335,15,3,0,0.0,52.1,163.0,10.87,0.2,False,False,0.1184
T00336,15,3,0,0.0,48.5,180.61,12.04,0.0,False,False,0.0492
T00337,14,4,0,0.0,61.6,155.5,11.11,0.143,False,False,0.1214
T00338,17,3,0,0.0,53.7,123.04,7.24,0.176,False,False,0.067
T00339,15,3,0,0.0,53.1,131.89,8.79,0.067,False,False,0.1135
T00340,12,4,0,0.0,68.6,134.05,11.17,0.25,False,False,0.0464
T00341,14,3,0,0.0,58.1,138.57,9.9,0.214,False,False,0.1309
T00342,13,4,0,0.0,56.2,127.6,9.82,0.308,False,False,0.1
T00343,14,3,0,0.0,64.6,116.57,8.33,0.071,True,False,0.0862
T00344,15,3,0,0.0,54.7,133.71,8.91,0.2,False,False,0.1263
T00345,13,3,0,0.0,59.4,133.07,10.24,0.154,False,False,0.1348
T00346,16,3,0,0.0,53.3,211.66,13.23,0.125,False,False,0.0531
T00347,13,4,0,0.0,59.2,162.2,12.48,0.077,False,False,0.1199
T00348,14,2,0,0.0,49.8,108.21,7.73,0.071,False,False,0.0354
T00349,14,4,0,0.0,46.2,134.34,9.6,0.0,False,False,0.061
T00350,16,4,0,0.0,58.1,195.57,12.22,0.188,False,False,0.1018
T00351,15,2,0,0.0,56.9,117.32,7.82,0.267,False,False,0.0457
T00352,10,4,0,0.0,57.1,80.01,8.0,0.0,False,False,0.0114
T00353,13,3,0,0.0,56.8,131.36,10.1,0.231,True,False,0.132
