place_id,name,predicted_label,top_reasons
P001,Ooty Town Centre,Safe,type waterfall (decreased risk); Crime score (decreased risk); Restricted zone (decreased risk)
P038,Deer Park,Safe,type waterfall (decreased risk); Restricted zone (decreased risk); Crime score (increased risk)
P039,Thread Garden,Safe,type waterfall (decreased risk); Crime score (decreased risk); Restricted zone (decreased risk)
P040,Thunder World,Safe,type waterfall (decreased risk); Crime score (decreased risk); Restricted zone (decreased risk)
P041,St. Stephen's Church,Safe,type waterfall (decreased risk); Crime score (decreased risk); Restricted zone (decreased risk)
P042,Wellington,Safe,type waterfall (decreased risk); Crime score (decreased risk); Restricted zone (decreased risk)
P043,Aruvankadu,Safe,type waterfall (decreased risk); Crime score (decreased risk); Restricted zone (decreased risk)
P044,Burliar,Safe,Crime score (decreased risk); type waterfall (decreased risk); Restricted zone (decreased risk)
P045,Bandishola,Safe,Crime score (decreased risk); type waterfall (decreased risk); Restricted zone (decreased risk)
P046,Aracode,Safe,Crime score (decreased risk); type waterfall (decreased risk); Restricted zone (decreased risk)
P047,Kairbetta,Safe,Crime score (decreased risk); type waterfall (decreased risk); Restricted zone (decreased risk)
P048,Kengarai,Safe,Crime score (decreased risk); type waterfall (decreased risk); Restricted zone (decreased risk)
P049,Devarshola,Safe,Crime score (decreased risk); type waterfall (decreased risk); Restricted zone (decreased risk)
P050,Nellakotta,Safe,Crime score (decreased risk); type waterfall (decreased risk); Restricted zone (decreased risk)
P051,Padanthorai,Safe,Crime score (decreased risk); type waterfall (decreased risk); Restricted zone (decreased risk)
P052,Cherangodu,Safe,Crime score (decreased risk); type waterfall (decreased risk); Restricted zone (decreased risk)
P053,Pandalur,Safe,type waterfall (decreased risk); Crime score (decreased risk); Restricted zone (decreased risk)
P054,Bokkapuram,Safe,Crime score (decreased risk); type waterfall (decreased risk); Restricted zone (decreased risk)
P055,Moyar River Crossing,Dangerous,Restricted zone (increased risk); Crime score (decreased risk); Crowd density (increased risk)
P056,Sigur Plateau,Safe,type waterfall (decreased risk); Crime score (decreased risk); Restricted zone (decreased risk)
P057,Fernhill,Safe,type waterfall (decreased risk); Crime score (decreased risk); Restricted zone (decreased risk)
P058,Lovedale,Safe,type waterfall (decreased risk); Crime score (decreased risk); Restricted zone (decreased risk)
P059,Coonoor Town Centre,Safe,type waterfall (decreased risk); Crime score (decreased risk); Restricted zone (decreased risk)
P060,Kotagiri Town Centre,Safe,type waterfall (decreased risk); Crime score (decreased risk); Restricted zone (decreased risk)
